dataset,task,model,fold,seed,accuracy,auroc,auprc,es,mae,mse,rmse,r2,osmae
tjh,los,RETAIN,3,0,,,,,4.656220436,36.47715378,6.039631844,0.14864713,
tjh,los,RETAIN,4,0,,,,,5.887058258,64.98607635,8.061393738,-0.105846047,
tjh,los,RETAIN,5,0,,,,,3.903501987,23.22449684,4.819180012,0.419436812,
tjh,los,RETAIN,6,0,,,,,4.835579872,58.88283157,7.673514843,-0.145773411,
tjh,los,RETAIN,7,0,,,,,3.995395184,23.54557991,4.852378845,0.267917156,
tjh,los,RETAIN,8,0,,,,,4.88958025,35.66431427,5.971960545,0.244303882,
tjh,los,RETAIN,9,0,,,,,5.243350983,48.00882339,6.92884016,0.140539169,
tjh,los,RNN,0,0,,,,,4.508365631,47.56709671,6.896890163,-0.163279653,
tjh,los,RNN,1,0,,,,,4.129576206,31.03525925,5.570930004,0.320125103,
tjh,los,RNN,2,0,,,,,4.585384846,41.38151169,6.432846069,0.15067929,
tjh,los,RNN,3,0,,,,,4.201852798,31.09637833,5.576412678,0.274230897,
tjh,los,RNN,4,0,,,,,5.505888939,59.9201088,7.74080801,-0.019640088,
tjh,los,RNN,5,0,,,,,4.345656395,33.02704239,5.746915817,0.174393952,
tjh,los,RNN,6,0,,,,,4.536705494,41.77924728,6.463686943,0.18703723,
tjh,los,RNN,7,0,,,,,3.906980991,25.78838348,5.078226566,0.198183537,
tjh,los,RNN,8,0,,,,,4.78728199,40.85012054,6.391409874,0.13442111,
tjh,los,RNN,9,0,,,,,5.157550335,45.77127075,6.765446663,0.180596173,
tjh,los,StageNet,0,0,,,,,4.080935478,42.3742218,6.509548664,-0.036285043,
tjh,los,StageNet,1,0,,,,,3.387942553,25.10843086,5.010831356,0.449961364,
tjh,los,StageNet,2,0,,,,,5.034586906,56.53474426,7.518959045,-0.160328031,
tjh,los,StageNet,3,0,,,,,4.638452053,32.56761932,5.706804752,0.239893138,
tjh,los,StageNet,4,0,,,,,5.32790947,54.19014359,7.361395359,0.077864766,
tjh,los,StageNet,5,0,,,,,4.104004383,29.46642303,5.428298473,0.263401926,
tjh,los,StageNet,6,0,,,,,5.044718266,48.06184006,6.932664871,0.064787269,
tjh,los,StageNet,7,0,,,,,3.58742547,19.83778191,4.453962326,0.383200586,
tjh,los,StageNet,8,0,,,,,5.537283421,47.72396851,6.90825367,-0.011229753,
tjh,los,StageNet,9,0,,,,,5.234799385,61.12469864,7.818228722,-0.094263077,
tjh,los,TCN,0,0,,,,,4.310508728,40.80194092,6.387639523,0.002165914,
tjh,los,TCN,1,0,,,,,4.183184147,32.42450714,5.694252014,0.289691448,
tjh,los,TCN,2,0,,,,,4.560678482,43.56605911,6.600459099,0.105843306,
tjh,los,TCN,3,0,,,,,4.349971771,28.74108124,5.36107111,0.329201996,
tjh,los,TCN,4,0,,,,,5.85373497,66.68776703,8.166257858,-0.134803057,
tjh,los,TCN,5,0,,,,,4.291576385,30.07203674,5.48379755,0.248262823,
tjh,los,TCN,6,0,,,,,5.010530472,49.0743866,7.005311489,0.045084596,
tjh,los,TCN,7,0,,,,,3.960905313,33.15837479,5.758330822,-0.030965328,
tjh,los,TCN,8,0,,,,,5.143621445,45.47761154,6.743709087,0.036368549,
tjh,los,TCN,9,0,,,,,5.270168781,62.9120369,7.93171072,-0.126260281,
tjh,los,Transformer,0,0,,,,,4.977617264,49.94842911,7.067420006,-0.22151649,
tjh,los,Transformer,1,0,,,,,4.094143867,31.4760685,5.61035347,0.310468495,
tjh,los,Transformer,2,0,,,,,5.054273605,45.01930618,6.709642887,0.076016605,
tjh,los,Transformer,3,0,,,,,4.81441927,38.59570313,6.212543964,0.09920156,
tjh,los,Transformer,4,0,,,,,5.671036243,55.96166611,7.480752945,0.047719359,
tjh,los,Transformer,5,0,,,,,5.315774441,45.9543457,6.778963566,-0.148761272,
tjh,los,Transformer,6,0,,,,,5.01510334,46.2394104,6.799956799,0.100249052,
tjh,los,Transformer,7,0,,,,,4.767152309,34.54562378,5.877552509,-0.074097991,
tjh,los,Transformer,8,0,,,,,5.366858006,45.13053131,6.717926025,0.043722928,
tjh,los,Transformer,9,0,,,,,5.285623074,45.90094757,6.775023937,0.178274691,
tjh,multitask,AdaCare,0,0,0.872832358,0.985556543,0.976834476,0.555798228,4.098689079,42.76578522,6.53955555,-0.045861006,6.7312603
tjh,multitask,AdaCare,1,0,0.933333337,0.985661268,0.980139077,0.803007521,3.462896109,27.64434052,5.257788658,0.394408345,4.504203796
tjh,multitask,AdaCare,2,0,0.885714293,0.950787902,0.915541649,0.575446916,4.47154808,38.36952591,6.194314003,0.212497771,5.839191437
tjh,multitask,AdaCare,3,0,0.91390729,0.980158687,0.971050978,0.749290966,3.969383001,30.90471458,5.559200764,0.278704226,5.861350536
tjh,multitask,AdaCare,4,0,0.915254235,0.984188199,0.978422701,0.785960534,5.701791763,59.01478577,7.682107925,-0.004234552,4.262417793
tjh,multitask,AdaCare,5,0,0.879999995,0.95688957,0.932739735,0.854376657,4.427779198,31.41496849,5.604905605,0.214692354,6.202925682
tjh,multitask,AdaCare,6,0,0.941176474,0.988061726,0.986391842,0.833067272,4.500163078,42.38981628,6.510746002,0.175156474,4.272282124
tjh,multitask,AdaCare,7,0,0.950549424,0.993997693,0.989282131,0.81802563,3.880670309,27.10717583,5.206455231,0.157179475,4.457234383
tjh,multitask,AdaCare,8,0,0.965116262,0.988884211,0.986561179,0.944762446,4.534109592,35.52617264,5.960383415,0.247230947,4.243553162
tjh,multitask,AdaCare,9,0,0.897590339,0.965110481,0.938071847,0.6663881,5.036668777,53.41680908,7.308680534,0.043724597,6.033118248
tjh,multitask,Agent,0,0,0.93063581,0.989946127,0.98386389,0.794051906,4.243486404,43.63596344,6.605752468,-0.067141771,4.861159325
tjh,multitask,Agent,1,0,0.961111128,0.994751036,0.992544293,0.899572461,3.577790976,26.08805847,5.107646942,0.428501129,3.642572403
tjh,multitask,Agent,2,0,0.948571444,0.988849282,0.982430339,0.778136775,4.66860199,39.33852386,6.272043228,0.192609906,4.05928421
tjh,multitask,Agent,3,0,0.920529783,0.971861541,0.961622179,0.839351493,4.260104656,27.92303276,5.284224987,0.348294735,5.726040363
tjh,multitask,Agent,4,0,0.903954804,0.981796443,0.97579062,0.917388277,5.675239563,61.16454697,7.820776463,-0.040816307,4.248812199
tjh,multitask,Agent,5,0,0.851428568,0.931104004,0.900409102,0.827193633,4.100513935,27.7084713,5.263883591,0.307347,7.006999969
tjh,multitask,Agent,6,0,0.921568632,0.973490119,0.970129073,0.80524515,4.62883091,43.01524734,6.558600903,0.162986517,5.668521881
tjh,multitask,Agent,7,0,0.967032969,0.998532772,0.997346342,0.939341877,3.785014391,26.2238369,5.120921612,0.184644401,3.460151672
tjh,multitask,Agent,8,0,0.970930219,0.997467279,0.996367097,0.947064011,4.507434368,34.06615448,5.836621761,0.278167546,3.94227314
tjh,multitask,Agent,9,0,0.909638584,0.96560204,0.949387431,0.826385644,4.625103474,46.304245,6.804722309,0.17105478,4.854878426
tjh,multitask,GRASP,0,0,0.924855471,0.99065423,0.985210836,0.755689026,4.300878525,44.99329758,6.707704544,-0.100335956,4.979439259
tjh,multitask,GRASP,1,0,0.911111116,0.974139094,0.959860504,0.899572461,4.581373215,37.02127838,6.08451128,0.188992202,5.705523014
tjh,multitask,GRASP,2,0,0.920000017,0.986173093,0.96660912,0.690487107,4.101187706,33.99584198,5.830595493,0.302263916,4.084635258
tjh,multitask,GRASP,3,0,0.89403975,0.953282833,0.946147799,0.698175533,4.513025284,33.45640945,5.784151554,0.219149292,6.327754974
tjh,multitask,GRASP,4,0,0.909604549,0.980334818,0.970350146,0.8178787,5.423629761,59.48374557,7.712570667,-0.012214661,3.995093107
tjh,multitask,GRASP,5,0,0.845714271,0.944533944,0.921744287,0.790302387,3.77298522,24.54940033,4.954735279,0.386317074,6.889144897
tjh,multitask,GRASP,6,0,0.849673212,0.973139048,0.963918805,0.487609265,4.488710403,39.19465637,6.260563374,0.237329602,7.500433445
tjh,multitask,GRASP,7,0,0.978021979,0.99799931,0.996473849,0.921649924,3.755641699,23.86016846,4.884686947,0.258135915,3.420176506
tjh,multitask,GRASP,8,0,0.941860437,0.990713418,0.987879157,0.811271691,4.671717167,38.99949265,6.244957447,0.17363435,4.965023994
tjh,multitask,GRASP,9,0,0.903614461,0.952661693,0.91885972,0.822981441,4.813000679,42.3022728,6.504019737,0.242698669,5.215912819
tjh,multitask,GRU,0,0,0.913294792,0.985414922,0.978003561,0.751650828,4.5216012,42.8751564,6.547912598,-0.048535705,5.557748795
tjh,multitask,GRU,1,0,0.894444466,0.975163281,0.965292454,0.719961671,4.449538708,39.23271561,6.263602257,0.140547276,6.267569542
tjh,multitask,GRU,2,0,0.937142849,0.984835029,0.977936566,0.698704262,4.945986271,44.43503189,6.665960789,0.088008404,4.290325642
tjh,multitask,GRU,3,0,0.874172211,0.950216532,0.925729394,0.668966713,4.577746868,35.69680023,5.974679947,0.166860104,7.042615414
tjh,multitask,GRU,4,0,0.892655373,0.969572186,0.953254044,0.879837493,5.725385189,61.33503723,7.831668854,-0.043717504,4.24879837
tjh,multitask,GRU,5,0,0.920000017,0.982406735,0.972916543,0.937867374,4.557535648,33.52901459,5.790424347,0.161845744,5.116920471
tjh,multitask,GRU,6,0,0.915032685,0.98437494,0.979389012,0.761193458,4.705985069,42.84240341,6.545410633,0.166349828,5.861295223
tjh,multitask,GRU,7,0,0.978021979,0.997065544,0.993952394,0.94439672,4.110546589,25.79262352,5.078643799,0.198051751,3.738495827
tjh,multitask,GRU,8,0,0.901162803,0.979879022,0.973465025,0.753732571,5.005997181,43.22342682,6.5744524,0.084132791,6.589907646
tjh,multitask,GRU,9,0,0.933734953,0.97117126,0.954504669,0.809364628,5.391202927,48.87345123,6.990954876,0.125060499,5.062189579
tjh,multitask,LSTM,0,0,0.895953774,0.96615696,0.960024893,0.654734078,4.135003567,43.81807709,6.619522572,-0.071595311,6.108662128
tjh,multitask,LSTM,1,0,0.899999976,0.986429393,0.97940594,0.687129591,4.352192402,36.53588486,6.044492245,0.199625552,6.224199295
tjh,multitask,LSTM,2,0,0.942857146,0.991674125,0.980276644,0.775397724,4.25634861,36.95278549,6.07888031,0.241575122,3.941215754
tjh,multitask,LSTM,3,0,0.867549658,0.948773503,0.943181217,0.578906187,4.206389904,33.72080994,5.806962013,0.212978363,7.201670647
tjh,multitask,LSTM,4,0,0.926553667,0.97422266,0.956425428,0.941796286,5.351989746,60.00112915,7.746039391,-0.021018863,3.939242125
tjh,multitask,LSTM,5,0,0.862857163,0.911630332,0.841706991,0.848551723,4.706566334,35.77355957,5.981100082,0.105736852,7.484419823
tjh,multitask,LSTM,6,0,0.90196079,0.980688214,0.976413608,0.673090075,4.83077383,45.81764984,6.768873692,0.108455837,6.128138065
tjh,multitask,LSTM,7,0,0.994505465,0.999866545,0.999751985,0.974725782,3.145431995,19.461092,4.411472797,0.39491272,2.492494106
tjh,multitask,LSTM,8,0,0.988372087,0.996623039,0.995938003,0.953968705,4.883730888,37.80880356,6.148886204,0.198863983,3.816410542
tjh,multitask,LSTM,9,0,0.819277108,0.929402113,0.877629399,0.74468477,4.758192539,42.54093933,6.522341728,0.23842603,8.001461029
tjh,multitask,MLP,0,0,0.630057812,0.904418051,0.887566626,0.816261995,4.638951302,41.85544205,6.469578266,-0.023597956,14.68864441
tjh,multitask,MLP,1,0,0.933333337,0.976059437,0.972601891,0.855152589,4.668268204,37.26725006,6.104691029,0.183603823,5.270256042
tjh,multitask,MLP,2,0,0.931428552,0.969669998,0.962439835,0.671313741,4.752310753,40.39605331,6.355789185,0.170904994,4.791884899
tjh,multitask,MLP,3,0,0.89403975,0.935606122,0.937605858,0.676268918,4.728491306,35.98695374,5.998912811,0.160088062,7.147228241
tjh,multitask,MLP,4,0,0.887005627,0.935291052,0.876243532,0.759674985,5.715339184,58.65213013,7.65846777,0.001936674,5.107804775
